VEHICLE_ID,REPAIR_ORDER_NO,REPAIR_ORDER_DATE,ODOMETER,REPAIR_CODE,QTY,COST,DESCRIPTION
04799ADA4BE8C44CFFC78543479556AF,1539B0D7F1BF97C7E9AD135CB0A6A732,2018-08-10,163462,53999A01,1,23.88,SALES TAX
04799ADA4BE8C44CFFC78543479556AF,F653F969E5442395CDBB29C427325EED,2018-07-25,163190,1E001008,1,72.92,"""A"" INSPECTION"
04799ADA4BE8C44CFFC78543479556AF,F653F969E5442395CDBB29C427325EED,2018-07-25,163190,34004019,1,106.49,BULBS - ALL LIGHT (EXCEPT SEALED BEAM)
04799ADA4BE8C44CFFC78543479556AF,F653F969E5442395CDBB29C427325EED,2018-07-25,163190,53999A01,1,4.61,SALES TAX
04799ADA4BE8C44CFFC78543479556AF,F653F969E5442395CDBB29C427325EED,2018-07-25,163190,2024026,1,3.99,"SOLVENT , WINDSHIELD WASHER"
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,13999A03,1,153.75,REAR BRAKE DISC & PAD KIT
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,16001022,1,184.5,"STRUT, FRONT"
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,13001026,2,131.09,"ROTOR , DISC  BRAKE"
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,16008031,2,252.75,"SHOCK ABSORBER , FRONT"
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,53999A01,1,70.53,SALES TAX
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,13002027,1,60.19,PAD - DISC BRAKE
04799ADA4BE8C44CFFC78543479556AF,7B143B3EAA78BE4917268F45A106B4E6,2018-07-11,155396,41001005,1,26.99,"ELEMENT - FILTER, AIR CLEANER"
04799ADA4BE8C44CFFC78543479556AF,18E40E806192B883DB486535E00A9425,2018-04-25,154782,1E001008,1,114.33,"""A"" INSPECTION"
04799ADA4BE8C44CFFC78543479556AF,966070EE83A265816F448A896752B6F1,2018-02-02,149677,1G001009,1,25.5,STATE INSPECTION
04799ADA4BE8C44CFFC78543479556AF,F268DD95B4A2BDD4D9396EF29F4425A3,2018-01-22,147068,1E001008,1,124.38,"""A"" INSPECTION"
567C237692966CE8AFDEABB7E99DC88A,8EF84951F498F6742425A0508D326493,2018-09-05,113065,1E001008,1,31.99,"""A"" INSPECTION"
567C237692966CE8AFDEABB7E99DC88A,8EF84951F498F6742425A0508D326493,2018-09-05,113065,17001001,2,129.05,"TIRE, RADIAL  LUG TREAD"
567C237692966CE8AFDEABB7E99DC88A,8EF84951F498F6742425A0508D326493,2018-09-05,113065,17002001,2,18.49,"TIRE , SEMI-PNEUMATIC, TREAD"
DEEF3E497F07651CA50051458A7153EA,7E16C021074B4B29B0E7436BCD48A5BA,2018-08-20,141226,53000000,1,20,EXPENDABLE ITEMS
DEEF3E497F07651CA50051458A7153EA,7E16C021074B4B29B0E7436BCD48A5BA,2018-08-20,141226,97000000,1,185.7,PUMP - PRODUCT TRANSFER
DEEF3E497F07651CA50051458A7153EA,7E16C021074B4B29B0E7436BCD48A5BA,2018-08-20,141226,53999A01,1,11.61,SALES TAX
DEEF3E497F07651CA50051458A7153EA,5A1F3A44BD282CC5CF1C07E27F908FFB,2018-08-20,141226,90001002,1,156.46,BULK PRODUCT PUMP
DEEF3E497F07651CA50051458A7153EA,A1677B8D2881B89FCCF4C65498B9866F,2018-07-13,139372,53000000,1,30,EXPENDABLE ITEMS
DEEF3E497F07651CA50051458A7153EA,A1677B8D2881B89FCCF4C65498B9866F,2018-07-13,139372,44003020,1,185.7,PUMP ASSEMBLY - INJECTION
DEEF3E497F07651CA50051458A7153EA,A1677B8D2881B89FCCF4C65498B9866F,2018-07-13,139372,53999A01,1,11.61,SALES TAX
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,13999A03,1,218.96,REAR BRAKE DISC & PAD KIT
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,1E001008,1,32.95,"""A"" INSPECTION"
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,90001002,1,328.44,BULK PRODUCT PUMP
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,45012007,1,197.06,ENGINE OIL COOLER SEAL
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,98008007,1,328.44,CAP
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,54002001,1,218.96,BACK UP ALARM
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,13002027,1,197.18,PAD - DISC BRAKE
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,27002034,1,328.87,"FITTING , OIL LINE, TRANSMISSION"
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,54002001,1,112.2,"ALARM , REVERSE SIGNAL"
DEEF3E497F07651CA50051458A7153EA,148A55D7217AA834E027C3C615B104DE,2018-06-19,139372,97000000,1,91.59,PUMP - PRODUCT TRANSFER
DEEF3E497F07651CA50051458A7153EA,0E32D44DF4B6BB451FE94088C4D4964F,2018-06-18,139368,53999A01,1,26.18,SALES TAX
DEEF3E497F07651CA50051458A7153EA,0E32D44DF4B6BB451FE94088C4D4964F,2018-06-18,139368,35002003,1,318,BACK UP CAMERA MONITOR
DEEF3E497F07651CA50051458A7153EA,0E32D44DF4B6BB451FE94088C4D4964F,2018-06-18,139368,2024018,30,3.36,"WEATHERSTRIP ,WINDOW"
DEEF3E497F07651CA50051458A7153EA,0E32D44DF4B6BB451FE94088C4D4964F,2018-06-18,139368,53000000,1,50,EXPENDABLE ITEMS
1C8840B63BB9E864D957AFFC3FDB92CF,E27538993CF02BF4884979B7A31504C7,2018-10-02,146694,17001002,1,164.43,"TIRE, RADIAL  RIB TREAD"
1C8840B63BB9E864D957AFFC3FDB92CF,E27538993CF02BF4884979B7A31504C7,2018-10-02,146694,53999A01,1,10.28,SALES TAX
1C8840B63BB9E864D957AFFC3FDB92CF,E27538993CF02BF4884979B7A31504C7,2018-10-02,146694,17002001,1,6.75,"TIRE , SEMI-PNEUMATIC, TREAD"
1C8840B63BB9E864D957AFFC3FDB92CF,24F8BF5FEA34929B78229132A9166757,2018-06-28,140849,1E001008,1,38.84,"""A"" INSPECTION"
1C8840B63BB9E864D957AFFC3FDB92CF,24F8BF5FEA34929B78229132A9166757,2018-06-28,140849,53999A01,1,1.96,SALES TAX
1C8840B63BB9E864D957AFFC3FDB92CF,82E22B5D8A6D7B330B4549076CB3B9CC,2018-05-14,138048,32002001,1,88,STARTER MOTOR
1C8840B63BB9E864D957AFFC3FDB92CF,82E22B5D8A6D7B330B4549076CB3B9CC,2018-05-14,138048,32001002,1,279.9,"CABLE , BATTERY TO STARTER"
1C8840B63BB9E864D957AFFC3FDB92CF,82E22B5D8A6D7B330B4549076CB3B9CC,2018-05-14,138048,53999A01,1,17.49,SALES TAX
